"date","SARS_CoV_2_RNA_copies_d_100000","quantification_flag","flow_m3_d","sample_origin"
"2021-06-20","0","N",10483,"ARAHo"
"2021-06-20","29400000000","D",7950,"ARAIL"
"2021-06-20","0","N",8386,"ARAMe"
"2021-06-20","0","N",24508,"ARANi"
"2021-06-20","0","N",13572,"ARAUs"
"2021-06-20","0","N",8504,"ARAWe"
"2021-06-20","32500000000","D",65200,"ARAWi"
"2021-06-20","23900000000","D",226354,"ARAZH"
"2021-06-22","0","N",9115,"ARAAf"
"2021-06-22","110000000000","D",10466,"ARABü"
"2021-06-22","20200000000","D",40144,"ARADi"
"2021-06-22","0","N",21810,"ARADü"
"2021-06-22","0","N",12686,"ARAHo"
"2021-06-22","0","N",7350,"ARAIL"
"2021-06-22","0","N",10024,"ARAMe"
"2021-06-22","0","N",20587,"ARANi"
"2021-06-22","0","N",17594,"ARAUs"
"2021-06-22","0","N",12702,"ARAWe"
"2021-06-22","17500000000","D",50095,"ARAWi"
"2021-06-22","45600000000","D",196237,"ARAZH"
"2021-06-24","0","N",21818,"ARAAf"
"2021-06-24","0","N",22801,"ARABü"
"2021-06-24","28400000000","D",64026,"ARADi"
"2021-06-24","0","N",33700,"ARADü"
"2021-06-24","0","N",16825,"ARAHo"
"2021-06-24","0","N",11700,"ARAIL"
"2021-06-24","123000000000","D",17367,"ARAMe"
"2021-06-24","0","N",44250,"ARANi"
"2021-06-24","0","N",23712,"ARAUs"
"2021-06-24","0","N",11405,"ARAWe"
"2021-06-24","0","N",95600,"ARAWi"
"2021-06-24","0","N",384387,"ARAZH"
"2021-06-27","0","N",10804,"ARAAf"
"2021-06-27","0","N",9994,"ARABü"
"2021-06-27","23000000000","D",37598,"ARADi"
"2021-06-27","0","N",17250,"ARADü"
"2021-06-27","0","N",9478,"ARAHo"
"2021-06-27","0","N",7495,"ARAIL"
"2021-06-27","0","N",8180,"ARAMe"
"2021-06-27","0","N",20434,"ARANi"
"2021-06-27","16500000000","D",13382,"ARAUs"
"2021-06-27","0","N",9072,"ARAWe"
"2021-06-27","0","N",43800,"ARAWi"
"2021-06-27","42400000000","D",160649,"ARAZH"
"2021-06-29","0","N",27874,"ARAAf"
"2021-06-29","0","N",24553,"ARABü"
"2021-06-29","0","N",66720,"ARADi"
"2021-06-29","0","N",47620,"ARADü"
"2021-06-29","0","N",31661,"ARAHo"
"2021-06-29","38900000000","D",13150,"ARAIL"
"2021-06-29","0","N",36359,"ARAMe"
"2021-06-29","0","N",27502,"ARANi"
"2021-06-29","0","N",33825,"ARAUs"
"2021-06-29","0","N",25223,"ARAWe"
"2021-06-29","0","N",124673,"ARAWi"
"2021-06-29","0","N",456155,"ARAZH"
"2021-07-01","0","N",17524,"ARAAf"
"2021-07-01","21300000000","D",15512,"ARABü"
"2021-07-01","34700000000","D",56771,"ARADi"
"2021-07-01","0","N",27500,"ARADü"
"2021-07-01","0","N",21794,"ARAHo"
"2021-07-01","74100000000","D",12750,"ARAIL"
"2021-07-01","35100000000","D",23774,"ARAMe"
"2021-07-01","0","N",31132,"ARANi"
"2021-07-01","0","N",32081,"ARAUs"
"2021-07-01","0","N",19700,"ARAWe"
"2021-07-01","25900000000","D",79200,"ARAWi"
"2021-07-01","121000000000","D",333925,"ARAZH"
"2021-07-04","0","N",17219,"ARAAf"
"2021-07-04","19200000000","D",12667,"ARABü"
"2021-07-04","0","N",42730,"ARADi"
"2021-07-04","19400000000","D",21520,"ARADü"
"2021-07-04","0","N",18442,"ARAHo"
"2021-07-04","0","N",11700,"ARAIL"
"2021-07-04","133000000000","D",23652,"ARAMe"
"2021-07-04","0","N",29004,"ARANi"
"2021-07-04","0","N",24885,"ARAUs"
"2021-07-04","0","N",15258,"ARAWe"
"2021-07-04","16000000000","D",53585,"ARAWi"
"2021-07-04","0","N",235171,"ARAZH"
"2021-07-06","0","N",19809,"ARAAf"
"2021-07-06","0","N",14222,"ARABü"
"2021-07-06","115000000000","D",42092,"ARADi"
"2021-07-06","163000000000","D",26770,"ARADü"
"2021-07-06","34300000000","D",21035,"ARAHo"
"2021-07-06","0","N",12000,"ARAIL"
"2021-07-06","219000000000","D",26283,"ARAMe"
"2021-07-06","0","N",28915,"ARANi"
"2021-07-06","0","N",30862,"ARAUs"
"2021-07-06","0","N",16798,"ARAWe"
"2021-07-06","0","N",48775,"ARAWi"
"2021-07-06","0","N",254277,"ARAZH"
"2021-07-08","0","N",28259,"ARAAf"
"2021-07-08","0","N",22475,"ARABü"
"2021-07-08","0","N",58981,"ARADi"
"2021-07-08","68700000000","D",40410,"ARADü"
"2021-07-08","0","N",31378,"ARAHo"
"2021-07-08","0","N",15000,"ARAIL"
"2021-07-08","0","N",36236,"ARAMe"
"2021-07-08","0","N",42473,"ARANi"
"2021-07-08","0","N",37096,"ARAUs"
"2021-07-08","0","N",28248,"ARAWe"
"2021-07-08","0","N",119489,"ARAWi"
"2021-07-08","0","N",408567,"ARAZH"
"2021-07-11","53400000000","D",14051,"ARAAf"
"2021-07-11","0","N",10846,"ARABü"
"2021-07-11","156000000000","D",55267,"ARADi"
"2021-07-11","0","N",23890,"ARADü"
"2021-07-11","137000000000","D",21050,"ARAHo"
"2021-07-11","196000000000","D",12933,"ARAIL"
"2021-07-11","1210000000000","Q",21915,"ARAMe"
"2021-07-11","0","N",27715,"ARANi"
"2021-07-11","72400000000","D",35187,"ARAUs"
"2021-07-11","0","N",31310,"ARAWe"
"2021-07-11","0","N",98962,"ARAWi"
"2021-07-11","562000000000","D",286090,"ARAZH"
"2021-07-13","0","N",32410,"ARAAf"
"2021-07-13","0","N",25407,"ARABü"
"2021-07-13","0","N",65034,"ARADi"
"2021-07-13","299000000000","D",53430,"ARADü"
"2021-07-13","0","N",34489,"ARAHo"
"2021-07-13","0","N",15578,"ARAIL"
"2021-07-13","208000000000","D",38258,"ARAMe"
"2021-07-13","0","N",51018,"ARANi"
"2021-07-13","176000000000","D",30465,"ARAUs"
"2021-07-13","0","N",31150,"ARAWe"
"2021-07-13","179000000000","D",163975,"ARAWi"
"2021-07-13","80000000000","D",467510,"ARAZH"
